V1,Estimate,Std..Error,df,t.value,Pr...t..
(Intercept),8.78994049471026,0.434689449144837,32.0062406355171,20.2211958721397,8.55091802855925e-20
cultureNear Eastern,-0.863013319686524,0.381640362477079,32.0015878462353,-2.26132611887548,0.0306703842058759
cultureOther,-0.370985711082729,0.338180341080039,32.0020536290834,-1.09700555005037,0.280825276633084
mediumceramic,-1.40227323743412,0.44647099188758,32.0053606254759,-3.14079360790186,0.00361358902360794
mediumfaience,-1.2080824344032,0.631746217308465,31.9862763716686,-1.91229072894207,0.0648302483348511
size,0.211456040924686,0.0540548225721991,32.001067706149,3.91188113960141,0.000448312370663475
"poly(centred_year, 2)1",13.7487814907974,0.167403885099846,526.065452271609,82.1294050768123,3.54444205077067e-302
"poly(centred_year, 2)2",-7.6337844838038,0.129102879694373,526.011146456038,-59.129467149574,1.62692575141002e-234
Ohioy,0.0962543077118364,0.224635468921512,32.0035434948642,0.428491137993296,0.67116386606852
